,track_name,artists,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
529,Thinkin B,Morgan Wallen,1,2023,3,3,604,6,125917280,22,101,0,0,35,140,3,Minor,66,43,76,49,0,12,3
530,Private Landing (feat. Justin Bieber & Future),Don Toliver,3,2023,2,23,1190,0,105062254,29,3,18,0,1,137,1,Minor,84,44,67,8,0,11,6
531,Private Landing (feat. Justin Bieber & Future),Future,3,2023,2,23,1190,0,105062254,29,3,18,0,1,137,1,Minor,84,44,67,8,0,11,6
532,Private Landing (feat. Justin Bieber & Future),Justin Bieber,3,2023,2,23,1190,0,105062254,29,3,18,0,1,137,1,Minor,84,44,67,8,0,11,6
533,Everything I Love,Morgan Wallen,1,2023,1,31,579,0,95623148,11,54,0,0,18,104,8,Major,56,72,85,0,0,15,3
534,Heaven,Niall Horan,1,2023,2,17,1553,2,144584800,61,6,48,0,2,92,5,Major,57,68,76,7,0,33,3
535,LET GO,Central Cee,1,2022,12,15,2301,20,298063749,49,23,110,0,14,146,2,Minor,74,51,45,86,0,21,38
536,Sial,Mahalini,1,2023,1,23,134,4,166570053,4,6,0,0,3,120,2,Major,56,20,43,89,0,12,4
537,I Wrote The Book,Morgan Wallen,1,2023,1,31,430,0,83021468,15,17,0,0,5,144,2,Major,68,83,81,9,0,8,4
538,"Apna Bana Le (From ""Bhediya"")",Arijit Singh,2,2022,11,5,86,0,139836056,11,101,0,0,33,94,9,Major,59,44,56,80,0,6,3
539,"Apna Bana Le (From ""Bhediya"")",Sachin-Jigar,2,2022,11,5,86,0,139836056,11,101,0,0,33,94,9,Major,59,44,56,80,0,6,3
540,SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,629,14,303216294,32,3,9,0,5,94,8,Major,73,65,79,5,2,11,6
541,PLAYA DEL INGL,Myke Towers,2,2022,12,15,1701,15,221409663,30,15,34,2,10,113,7,Minor,79,66,74,8,0,11,5
542,PLAYA DEL INGL,Quevedo,2,2022,12,15,1701,15,221409663,30,15,34,2,10,113,7,Minor,79,66,74,8,0,11,5
543,Man Made A Bar (feat. Eric Church),Morgan Wallen,2,2023,3,3,329,0,58890931,14,35,1,0,11,148,4,Major,50,49,76,12,0,12,3
544,Man Made A Bar (feat. Eric Church),Eric Church,2,2023,3,3,329,0,58890931,14,35,1,0,11,148,4,Major,50,49,76,12,0,12,3
545,Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,0,81419389,45,11,20,0,3,98,1,Major,70,29,73,12,0,11,26
546,Kahani Suno 2.0,Kaifi Khalil,1,2022,5,31,162,6,156777415,1,10,1,0,5,140,11,Major,58,26,38,91,0,10,4
547,Nobody Gets Me,SZA,1,2022,12,9,2536,6,284908316,59,100,58,13,39,100,7,Major,36,28,28,81,0,18,3
548,PERO T,Karol G,2,2023,2,23,387,11,93438910,11,15,14,3,9,140,6,Major,86,68,79,39,0,11,29
549,PERO T,Quevedo,2,2023,2,23,387,11,93438910,11,15,14,3,9,140,6,Major,86,68,79,39,0,11,29
550,Hype Boy,NewJeans,1,2022,8,1,892,17,363472647,20,119,12,2,46,100,4,Minor,59,78,94,27,0,29,23
551,Bloody Mary,Lady Gaga,1,2011,1,1,3909,0,372476382,66,26,277,3,9,100,9,Minor,59,49,65,2,0,13,3
552,Monoton,Ozuna,2,2022,10,19,3645,15,380726517,118,34,150,4,17,132,-1,Minor,87,82,70,42,0,21,5
553,Monoton,Shakira,2,2022,10,19,3645,15,380726517,118,34,150,4,17,132,-1,Minor,87,82,70,42,0,21,5
554,98 Braves,Morgan Wallen,1,2023,3,3,282,0,56533272,6,15,0,0,5,142,2,Major,49,48,67,10,0,26,3
