,track_name,artists,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
46,I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420,241,127,458,37,140,Major,71,82,81,11,0,6,5
47,Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401,68,21,24,0,134,Minor,59,51,52,9,0,15,7
48,Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693,281,137,2445,1,186,Major,68,49,59,16,0,13,28
49,Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108,87,86,74,1,67,Minor,53,50,53,23,0,44,7
50,El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850,44,64,57,10,106,Minor,72,17,64,7,0,10,5
51,Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666,145,111,213,11,128,Major,60,23,91,0,0,12,3
52,AMARGURA,Karol G,1,2023,2,24,1133,39,153372011,14,71,23,10,107,Minor,92,55,70,18,0,15,7
53,(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440,0,0,109,17,130,Minor,67,96,88,12,19,8,4
54,Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666,250,122,3394,19,123,Minor,45,13,54,70,0,9,4
55,Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074,672,199,3421,20,171,Major,50,38,80,0,0,9,7
56,Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385,67,79,57,1,137,Minor,64,88,72,51,0,17,5
57,La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358,139,111,161,15,125,Minor,84,85,68,58,0,22,4
58,S91,Karol G,1,2023,7,14,525,41,16011326,34,115,39,6,128,Minor,86,42,72,59,0,9,19
59,cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557,106,112,142,4,130,Minor,61,53,58,55,0,27,4
60,T,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664,27,17,73,4,130,Major,86,59,96,50,1,9,5
61,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624,154,84,102,14,133,Major,70,86,81,25,0,25,5
62,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240,38,0,4,0,101,Major,88,72,59,62,0,9,3
63,BESO,"Rauw Alejandro, ROSAL###",2,2023,3,24,4053,50,357925728,82,121,182,12,95,Minor,77,53,64,74,0,17,14
64,Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710,63,79,89,11,98,Minor,90,40,59,0,0,10,29
65,Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421,196,2,4053,5,173,Major,43,28,66,0,0,23,3
66,Karma,Taylor Swift,1,2022,10,21,3818,23,404562836,37,55,32,0,90,Major,64,10,62,7,0,48,7
67,People,Libianca,1,2022,12,2,3506,56,373199958,105,64,169,8,198,Minor,59,71,42,55,0,10,7
68,Overdrive,Post Malone,1,2023,7,14,410,36,14780425,36,32,31,1,140,Major,56,48,73,0,0,35,4
69,Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178,32,93,8,2,82,Major,51,22,53,1,0,15,3
70,BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102,42,80,58,3,130,Minor,77,84,89,17,0,43,5
71,Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762,386,144,707,28,81,Major,76,53,53,44,0,9,9
72,golden hour,JVKE,1,2022,7,15,4511,36,751134527,70,58,109,18,94,Minor,51,14,59,65,18,25,3
73,Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485,166,87,1056,1,124,Major,61,41,81,5,2,10,3
74,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093,94,65,164,14,128,Major,62,55,78,1,3,23,4
75,Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789,233,0,4095,9,138,Minor,49,42,62,9,0,11,3
76,Here With Me,d4vd,1,2022,7,17,3246,23,635412045,94,85,68,1,132,Major,58,27,48,50,0,12,3
77,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890,216,108,331,26,131,Major,71,24,47,1,0,27,9
78,Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368,47,74,80,14,168,Minor,78,58,73,5,0,10,7
79,CORAZN VA,Maria Becerra,1,2023,6,22,370,20,43857627,12,16,18,4,98,Major,68,40,79,33,0,30,6
80,Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673,300,65,1003,1,102,Major,48,50,73,43,0,15,4
81,Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848,60,96,71,0,101,Major,34,32,57,78,0,20,3
82,Novidade na ,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092,9,6,25,2,130,Major,63,36,34,76,0,35,9
83,Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929,16,72,5,0,142,Major,50,20,64,1,0,12,3
84,STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922,492,99,798,31,170,Major,59,48,76,4,0,10,5
85,El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238,80,75,110,11,124,Minor,78,70,68,3,1,11,4
86,Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814,440,125,1800,0,110,Major,50,45,41,75,0,11,3
87,Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818,104,120,141,26,92,Minor,91,43,71,9,0,9,8
88,Makeba,Jain,1,2015,6,22,6060,53,165484133,150,148,2703,22,116,Major,82,40,66,39,51,25,7
89,MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811,1,52,8,0,129,Major,63,84,82,70,8,9,7
90,Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870,57,97,35,0,98,Major,71,67,60,19,0,12,3
91,What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998,29,76,24,0,172,Minor,74,76,76,6,0,10,9
92,Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248,28,89,29,5,150,Major,68,14,76,4,0,10,4
93,Dont Bl,Taylor Swift,1,2017,11,8,4875,23,685032533,19,45,0,0,136,Minor,62,19,53,11,0,6,4
94,Still With You,Jung Kook,1,2020,6,5,31,39,38411956,2,107,8,0,88,Minor,53,34,47,9,0,83,4
95,All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150,69,145,69,2,143,Major,83,69,44,15,0,10,33
96,Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540,49,105,63,1,100,Minor,49,17,35,71,9,11,3
97,Snooze,SZA,1,2022,12,9,2839,25,399686758,58,156,42,1,143,Major,56,39,55,14,0,11,13
98,Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508,89,143,1632,3,112,Minor,56,24,66,7,0,12,3
99,Take Two,BTS,1,2023,6,9,674,47,118482347,20,106,25,4,93,Major,62,57,59,3,0,38,3
100,Lover,Taylor Swift,1,2012,1,1,8448,23,882831184,160,110,163,0,206,Major,43,50,55,50,0,15,10
101,Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165,17,119,19,2,88,Minor,68,17,71,15,0,11,5
102,Chemical,Post Malone,1,2023,4,14,2528,39,172825906,56,91,59,3,170,Major,50,37,90,0,0,12,5
103,Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043,49,98,2394,5,84,Minor,62,24,67,21,0,13,28
104,New Jeans,NewJeans,1,2023,7,7,77,35,29562220,8,166,4,4,134,Minor,81,53,72,51,0,12,5
105,Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611,6,40,6,6,158,Major,54,50,40,61,0,10,6
106,Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1605224506,384,135,1034,37,116,Major,80,92,80,4,0,10,3
107,Dandelions,Ruth B.,1,2017,4,28,3423,21,1116995633,41,100,59,1,117,Major,61,45,69,2,0,9,3
108,Bones,Imagine Dragons,1,2021,3,11,4198,44,838079900,98,108,327,17,114,Minor,77,65,72,2,0,7,5
109,Set Fire to the Rain,Adele,1,2011,1,1,14739,43,1163620694,88,112,2163,5,108,Minor,61,47,68,0,0,13,3
110,Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,1093605526,69,113,695,0,144,Minor,74,37,53,7,0,21,10
111,Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,179659294,7,6,0,0,130,Major,51,18,44,76,0,11,3
112,LAGUNAS,"Jasiel Nu######ez, Peso P",2,2023,6,22,58,18,39058561,2,106,4,2,116,Major,77,79,62,33,1,15,3
113,Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123,21,52,6,1,121,Major,65,49,78,0,0,17,4
114,Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,25,1205951614,101,32,2655,0,112,Major,64,54,81,36,0,11,6
115,No Role Modelz,J. Cole,1,2014,12,9,21164,36,1791000570,80,65,476,0,100,Minor,70,47,52,30,0,6,33
116,Tattoo,Loreen,1,2023,2,25,2988,59,201660859,74,102,145,18,150,Minor,55,30,78,24,0,12,8
117,Rara Vez,"Taiu, Milo j",2,2023,2,8,893,38,248088961,19,23,24,3,120,Minor,84,96,71,18,0,34,17
118,VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Be####",3,2023,5,12,1094,34,90839753,40,58,47,8,127,Minor,82,89,85,4,0,23,6
119,august,Taylor Swift,1,2020,7,24,7324,22,607123776,25,81,61,1,90,Major,51,42,61,53,0,9,3
120,LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345,19,117,8,1,128,Minor,75,79,63,33,0,15,4
121,Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211050784,161,115,246,9,143,Major,64,31,87,4,4,8,4
122,Nonsense,Sabrina Carpenter,1,2022,7,15,2346,27,342897938,69,12,38,8,139,Major,74,68,68,3,0,26,4
123,Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,2762,21,110,21,9,162,Major,49,78,64,19,0,11,4
124,Por las Noches,Peso Pluma,1,2021,6,11,457,24,330346424,8,116,4,3,92,Major,81,39,60,31,0,7,3
125,Feliz Cumpleaos Fe,Feid,1,2022,8,19,3430,38,601863821,45,69,52,4,95,Major,87,57,55,10,0,29,7
126,Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,52,1953533826,201,44,6551,2,146,Major,63,88,93,3,0,10,8
127,Watermelon Sugar,Harry Styles,1,2019,11,17,21915,34,2322580122,437,115,1212,12,95,Major,55,56,82,12,0,34,5
128,lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,15032,30,2355719893,221,96,1078,2,115,Minor,35,12,30,93,0,10,3
129,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66902503,25,59,32,5,128,Major,78,59,65,10,0,26,5
130,Queencard,(G)I-DLE,1,2023,5,15,451,33,96273746,10,126,7,0,130,Minor,82,69,83,3,0,27,5
131,OMG,NewJeans,1,2023,1,2,1783,27,430977451,26,124,15,1,127,Minor,80,74,77,36,0,11,4
132,Radio,Lana Del Rey,1,2011,1,1,9389,46,284819874,24,122,282,3,150,Major,42,20,86,21,0,9,9
133,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44,721975598,119,108,254,29,122,Minor,78,50,63,27,0,9,5
134,505,Arctic Monkeys,1,2007,4,20,13985,25,1217120710,30,80,588,1,140,Major,52,20,85,0,0,7,5
135,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16,109276132,31,37,31,0,140,Major,63,22,54,46,0,12,8
136,Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,276259178,24,90,30,1,119,Minor,75,48,53,18,0,18,34
137,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54225632,3,88,1,0,110,Minor,76,96,72,32,0,9,4
138,Perfect,Ed Sheeran,1,2017,1,1,16596,13,2559529074,7,0,2094,0,95,Major,60,17,45,16,0,11,2
139,Romantic Homicide,d4vd,1,2022,7,20,2335,23,681583126,82,55,50,0,132,Major,56,20,55,45,1,32,3
140,Believer,Imagine Dragons,1,2017,1,31,18986,23,2594040133,250,121,2969,10,125,Minor,77,74,78,4,0,23,11
141,Novo Balan,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,81102253,6,9,26,1,124,Minor,84,65,50,67,0,13,6
142,"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,11956641,5,2,30,2,133,Minor,93,68,65,42,0,12,25
143,Without Me,Eminem,1,2002,1,1,21081,43,1687664027,98,76,3889,5,112,Major,92,67,66,0,0,36,9
144,QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,7,13,437,31,11599388,17,29,26,3,97,Major,79,92,89,5,0,6,5
145,Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,611700552,13,8,5,0,90,Minor,59,52,48,38,5,10,11
146,Ojitos Lindos,"Bomba Est######reo, Bad B",2,2022,5,6,6135,38,1133865788,71,113,99,13,80,Minor,65,27,69,8,0,53,4
147,Somewhere Only We Know,Keane,1,2004,1,1,20015,16,1089402494,107,69,5239,0,172,Major,45,33,59,6,0,8,3
148,Those Eyes,New West,1,2019,5,10,1507,14,411747614,24,71,44,1,120,Major,60,24,35,73,0,31,3
149,El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,21,255932395,7,71,4,2,140,Minor,74,96,80,18,0,5,5
150,Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8,31873544,7,76,3,1,128,Minor,81,90,77,1,0,9,5
151,Bye,Peso Pluma,1,2023,5,26,324,14,95053634,13,110,8,2,122,Major,78,70,81,57,0,10,5
152,Danza Kuduro,"Don Omar, Lucenzo",2,2010,1,1,17138,37,1279434863,119,81,974,1,130,Major,47,86,92,8,0,5,24
153,Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,9,233801632,14,88,66,3,160,Major,69,61,71,33,0,31,20
154,Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1622,9,1481349984,0,0,356,0,144,Major,73,87,70,6,0,28,5
155,Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,561,14,142095275,4,14,12,5,192,Major,50,85,52,11,0,28,6
156,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,17,5871,27,618885532,81,121,58,1,163,Major,54,40,67,0,0,9,17
157,Counting Stars,OneRepublic,1,2013,1,1,29215,43,2011464183,179,97,3394,11,122,Minor,66,48,71,6,0,12,4
158,Ghost,Justin Bieber,1,2021,3,19,5866,24,1167330737,107,38,95,0,154,Major,61,41,74,21,0,40,6
159,Under The Influence,Chris Brown,1,2019,10,4,3859,26,929964809,133,181,3,0,117,Minor,73,31,69,6,0,11,4
160,PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,961,26,436027885,19,143,10,6,138,Minor,78,89,83,10,0,12,5
161,Gasolina,Daddy Yankee,1,2004,7,13,6457,18,657723613,98,95,453,0,96,Major,86,74,80,33,0,8,6
162,One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,2713922350,433,107,3631,0,104,Major,77,36,63,1,0,36,5
163,Enchanted,Taylor Swift,1,2010,1,1,4564,16,621660989,24,101,113,0,164,Major,45,24,62,8,0,16,3
164,Save Your Tears,The Weeknd,1,2020,3,20,12688,13,1591223784,197,115,112,0,118,Major,68,61,82,2,0,50,3
165,Sure Thing,Miguel,1,2010,5,25,13801,19,950906471,137,125,435,6,81,Minor,68,51,60,3,0,19,10
166,Every Breath You Take - Remastered 2003,The Police,1,1983,1,6,22439,19,1593270737,211,74,929,0,117,Major,82,73,45,54,0,7,3
167,The Night We Met,Lord Huron,1,2015,2,2,18515,35,1410088830,70,82,939,1,174,Major,45,10,37,97,25,64,4
168,We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,36843,21,1235005533,321,91,4607,1,128,Major,73,60,77,3,0,11,4
169,When I Was Your Man,Bruno Mars,1,2012,12,5,2420,11,1661187319,0,0,806,0,145,Major,60,43,27,94,0,14,4
170,Let Me Down Slowly,Alec Benjamin,1,2018,5,25,5897,19,1374581173,0,0,885,0,150,Minor,65,51,55,73,0,14,3
171,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,94186466,17,60,28,1,90,Minor,60,13,53,4,0,21,4
172,Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,26,1788326445,133,92,2733,1,85,Major,55,42,53,17,0,22,3
173,Demons,Imagine Dragons,1,2012,1,1,26694,13,1840364617,65,82,3425,4,180,Major,33,38,71,20,0,28,5
174,Run Into The Night,YOASOBI,1,2023,4,12,356,16,143573775,35,102,8,1,166,Major,57,84,94,11,0,37,9
175,Reminder,The Weeknd,1,2016,11,25,6518,17,684675814,45,85,238,1,160,Major,71,40,50,16,0,16,22
176,Shake It Off,Taylor Swift,1,2014,1,1,21335,13,1113838873,328,70,1378,9,160,Major,65,95,80,5,0,41,16
177,Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,23389,29,1267333350,54,70,1089,2,92,Major,70,81,63,4,0,8,4
178,SNAP,Rosa Linn,1,2022,3,19,3202,18,726307468,148,80,226,24,170,Major,56,53,64,11,0,45,6
179,Shape of You,Ed Sheeran,1,2017,1,6,32181,10,3562543890,33,0,6808,7,96,Minor,83,93,65,58,0,9,8
180,Night Changes,One Direction,1,2014,11,17,7124,18,1131090940,60,20,2,0,120,Major,67,40,52,86,0,12,4
181,Fin de Semana,"Oscar Maydon, Junior H",2,2023,1,13,592,14,307370144,11,84,6,1,98,Major,70,37,54,6,0,9,8
182,Creep,Radiohead,1,1992,9,21,36724,7,1271293243,146,72,6807,5,92,Major,53,12,34,1,0,12,4
183,Car's Outside,James Arthur,1,2019,10,18,794,10,265882712,38,25,61,0,150,Major,34,24,56,4,0,11,3
184,Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,17,841749534,61,96,790,2,94,Major,37,17,47,2,46,11,3
185,Cheques,Shubh,1,2023,5,19,67,8,47956378,7,10,0,0,90,Minor,74,36,63,26,0,27,5
186,Pink + White,Frank Ocean,1,2016,8,20,21574,30,806397070,112,68,266,1,160,Major,54,54,55,67,0,42,11
187,Circles,Post Malone,1,2019,8,30,19664,16,2132335812,391,73,633,3,120,Major,70,59,75,24,0,9,4
188,Just The Way You Are,Bruno Mars,1,2010,1,1,21106,13,1641426668,82,0,2946,0,109,Major,63,46,85,1,0,9,5
189,Take Me To Church,Hozier,1,2013,9,13,23804,31,2135158446,187,99,4623,1,129,Minor,57,41,66,63,0,12,5
190,Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,367316268,27,129,21,7,157,Major,54,75,60,30,0,7,5
191,You Belong With Me (Taylors Ve,Taylor Swift,1,2021,4,9,2619,12,350381515,47,90,1,0,130,Major,63,49,73,5,0,9,3
192,Titi Me Pregunt,Bad Bunny,1,2022,5,6,9037,42,1264310836,124,133,139,14,107,Minor,65,19,72,10,0,13,25
193,Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11,30343206,3,33,3,0,146,Minor,50,67,89,0,0,19,8
194,Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,14,405136812,1,50,19,0,139,Minor,48,37,41,32,0,10,10
195,Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,7,1,15890,14,1145727611,71,37,653,0,116,Major,74,76,70,7,0,13,3
196,Es un Secreto,Plan B,1,2010,7,20,492,36,540654286,4,3,19,0,95,Minor,84,52,77,12,0,7,4
197,POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33,57312735,20,46,21,8,170,Minor,62,55,80,15,0,37,7
198,Ditto,NewJeans,1,2022,12,19,1154,22,397582059,28,125,11,1,134,Minor,81,18,64,3,0,10,11
199,Take On Me,a-ha,1,1984,10,19,44927,17,1479115056,34,0,5108,6,84,Minor,57,86,90,2,0,9,5
200,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,4,86773632,13,46,20,1,146,Minor,61,20,48,21,0,12,6
201,"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,14,133753727,22,18,15,1,74,Minor,53,24,67,11,0,10,28
202,Acrs,Shakira,1,2023,5,11,955,29,123124076,37,50,79,11,144,Major,75,35,48,84,0,10,12
203,AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,19,463564958,12,117,9,5,136,Minor,77,79,73,15,0,27,10
204,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,64533040,6,71,1,0,100,Major,56,53,55,53,0,12,4
205,S-Class,Stray Kids,1,2023,6,2,290,19,65496046,9,101,5,0,105,Minor,89,67,78,9,0,7,33
206,Hits Different,Taylor Swift,1,2023,5,26,547,0,68616963,15,15,6,0,106,Major,67,24,78,15,0,30,4
207,Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,10,161460990,15,92,21,2,132,Major,85,53,68,40,0,9,4
208,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,332,5,70106975,18,41,5,0,120,Major,78,5,30,21,0,13,5
209,Area Codes,"Kaliii, Kaliii",2,2023,3,17,1197,13,113509496,44,34,25,1,155,Major,82,51,39,2,0,9,49
210,Abcdario,"Junior H, Eden Mu####",2,2023,5,13,262,5,89933133,8,60,4,1,129,Major,70,42,43,78,0,11,3
211,Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,71007139,10,79,2,0,135,Minor,80,85,74,62,0,8,9
212,Piman De,"Semicenk, Do######u ",2,2023,6,2,185,3,43522589,5,6,4,1,98,Minor,73,45,62,28,0,13,13
213,FLOWER,JISOO,1,2023,3,31,839,18,232896922,20,110,20,0,124,Minor,84,64,39,3,0,11,4
214,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,0,37126685,5,17,5,0,135,Minor,77,28,55,18,0,22,15
215,Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623,116,69,107,3,107,Major,78,39,53,30,0,11,6
216,Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,25,532336353,116,84,114,18,96,Major,54,25,74,14,0,9,11
217,La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,34,538115192,47,77,53,10,123,Major,71,58,70,30,0,32,19
218,Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,0,46142772,23,21,31,0,90,Major,62,7,62,6,0,58,6
219,Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,16,401036314,41,69,38,0,117,Minor,72,45,59,14,0,20,21
220,Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8,127026613,8,78,4,1,133,Minor,78,90,84,31,0,7,4
221,CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,36,345031710,29,65,34,5,96,Minor,74,61,83,11,0,35,6
222,Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,288101651,10,72,8,3,149,Major,66,85,60,40,0,14,13
223,Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60350538,1,0,9,0,110,Minor,66,32,40,81,0,11,3
224,Players,Coi Leray,1,2022,11,30,4096,6,335074782,118,48,143,0,105,Major,95,62,52,3,0,5,16
225,Bite Me,ENHYPEN,1,2023,5,22,349,69,76767396,8,96,5,0,105,Major,80,69,78,28,0,11,14
226,Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,5,46065667,23,82,6,0,134,Major,76,61,58,6,0,16,3
227,Normal,Feid,1,2022,7,8,2461,36,459276435,47,66,45,5,170,Minor,71,59,56,4,0,27,12
228,Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,1,39666245,1,20,5,0,81,Major,59,26,60,46,1,25,13
229,Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,138517666,7,29,51,1,154,Major,63,75,92,31,0,91,5
230,Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917,155,72,131,16,169,Major,69,69,51,63,0,38,4
231,CUFF IT,Beyonc##,1,2022,7,29,7842,10,595900742,215,88,330,26,115,Major,78,64,69,4,0,7,14
232,Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,6,51985779,6,14,8,2,84,Minor,43,14,74,1,0,19,8
233,69,"Nicky Jam, Feid",2,2023,5,18,1134,22,57945987,39,14,48,2,93,Major,79,58,62,11,0,11,23
234,Nia Bo,"Sean Paul, Feid",2,2023,4,21,1305,34,115010040,29,26,43,5,91,Major,82,47,62,10,0,10,15
235,Search & Rescue,Drake,1,2023,4,7,2066,6,175097833,58,70,43,0,142,Minor,82,54,44,6,0,33,7
236,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyonc##",2,2023,5,19,896,0,57089066,34,2,33,0,126,Major,78,20,70,1,0,16,4
237,Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797,51,43,38,10,97,Major,73,10,44,26,0,16,8
238,"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,0,32761689,3,10,3,0,101,Major,92,59,51,41,51,26,8
239,Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053,34,65,43,6,98,Minor,80,23,48,14,0,6,5
240,Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,5,153454328,8,57,76,2,154,Major,59,63,89,18,0,80,9
241,Cupido,Tini,1,2023,2,14,1240,24,217672943,51,29,63,4,120,Major,91,63,58,52,0,31,22
242,Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829,72,27,47,0,150,Major,49,4,55,7,0,6,3
243,Unstoppable,Sia,1,2016,1,21,7681,13,939844851,119,66,1145,2,174,Major,47,27,78,11,0,10,8
