,track_name,artists,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
859,295,Sidhu Moose Wala,1,2021,5,15,246,4,183273246,4,106,0,0,90,Minor,68,54,76,21,0,11,20
860,Tak Ingin Usai,Keisya Levronka,1,2022,5,13,220,4,184807630,16,5,0,0,130,Major,49,14,40,82,0,11,3
861,En El Radio Un Cochinero,Victor Cibrian,1,2022,5,13,514,0,164856284,5,36,1,0,154,Minor,70,97,62,47,0,10,4
862,Master of Puppets (Remastered),Metallica,1,1986,3,3,6080,0,704171068,112,198,406,1,105,Minor,54,59,83,0,44,20,4
863,BREAK MY SOUL,Beyonc##,1,2022,6,21,9724,0,354614964,222,61,259,14,115,Minor,70,87,88,4,0,26,8
864,ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,2022,6,16,2341,0,279717388,37,2,38,2,110,Major,91,59,82,8,0,6,8
865,Massive,Drake,1,2022,6,17,5263,0,195628667,66,89,61,0,125,Minor,51,5,68,12,2,15,6
866,Betty (Get Money),Yung Gravy,1,2022,6,10,2402,0,221752937,45,2,26,0,102,Major,73,62,75,0,0,34,8
867,Ojos Marrones,Lasso,1,2022,2,6,795,11,263280370,26,18,15,1,120,Minor,81,72,65,4,0,14,4
868,POP!,Nayeon,1,2022,6,24,571,0,213505179,19,21,14,0,97,Major,80,36,86,4,0,3,5
869,Layla,"Sch######rze, DJ R",2,2022,3,24,832,3,130419412,18,124,24,1,140,Minor,44,41,92,0,0,44,7
870,MORE,j-hope,1,2022,7,1,565,0,155795783,6,52,11,0,97,Major,78,31,72,1,0,11,4
871,Sweet Child O' Mine,Guns N' Roses,1,1987,1,1,41231,1,1553497987,228,151,6720,3,125,Major,45,67,90,9,11,10,5
872,Last Last,Burna Boy,1,2022,5,12,4526,12,293466523,156,275,150,3,88,Minor,80,55,56,13,0,8,9
873,SNAP,Rosa Linn,1,2022,3,19,1818,0,711366595,3,0,63,0,170,Major,56,52,64,11,0,45,7
874,Sticky,Drake,1,2022,6,17,2814,0,191448892,38,105,25,0,137,Minor,88,8,49,9,0,9,14
875,Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",3,2022,7,1,1601,0,85924992,11,0,2,0,157,Major,88,52,69,0,0,8,23
876,Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",3,2022,6,3,894,4,176103902,28,0,54,0,130,Major,95,83,57,54,0,10,25
877,La Loto,"Anitta, Tini, Becky G",3,2022,7,6,945,0,121189256,49,3,57,0,90,Major,85,80,83,10,0,8,11
878,die first,Nessa Barrett,1,2022,6,24,767,0,131746175,25,0,22,0,183,Minor,44,44,67,7,0,12,13
879,Afraid To Feel,LF System,1,2022,5,2,5898,5,244790012,129,55,128,0,128,Major,58,68,91,2,0,27,11
880,Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,2022,6,10,685,2,129314708,17,0,24,0,130,Minor,71,78,40,46,0,7,45
881,cmo dormi,Rels B,1,2022,8,4,1452,35,331511413,16,15,20,0,126,Major,63,56,43,24,0,12,23
882,Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",3,2022,8,5,1456,0,219196651,53,2,33,0,120,Major,77,94,87,2,0,23,12
883,STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2022,8,5,2107,0,170732845,51,1,50,0,130,Minor,72,18,46,7,0,28,8
884,Caile,Luar La L,1,2020,12,18,1494,2,273914335,17,12,15,0,122,Major,70,46,76,30,0,9,45
885,Si Te La Encuentras Por Ah,Feid,1,2022,8,5,1379,4,179061440,23,10,18,0,172,Minor,74,46,58,15,0,13,8
886,GIVENCHY,Duki,1,2022,7,20,625,4,185236961,13,18,12,0,103,Major,61,38,62,14,0,23,40
887,ALIEN SUPERSTAR,Beyonc##,1,2022,7,29,2688,0,171788484,39,47,36,0,122,Minor,55,46,64,0,0,17,10
888,Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183,38,266,78,0,130,Major,47,56,90,0,0,10,4
